activity,institution,source,experiment,member,frequency,xrfreq,variable,domain,path,date_start,date_end,version,id,processing_level,format,mip_era
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,3hr,3h,"('pr',)",gr2,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/3hr/pr/gr2/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr2,raw,zarr,CMIP6
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,3hr,3h,"('pr',)",gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/3hr/pr/gr1/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr1,raw,zarr,CMIP6
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,day,D,"('pr',)",gr2,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/day/pr/gr2/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr2,raw,zarr,CMIP6
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,day,D,"('tasmin',)",gr2,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/day/tasmin/gr2/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr2,raw,zarr,CMIP6
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,day,D,"('tasmin',)",gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/day/tasmin/gr1/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr1,raw,zarr,CMIP6
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,day,D,"('tasmax',)",gr2,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/day/tasmax/gr2/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr2,raw,zarr,CMIP6
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,day,D,"('tasmax',)",gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/day/tasmax/gr1/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr1,raw,zarr,CMIP6
CMIP,NOAA-GFDL,GFDL-CM4,historical,r1i1p1f1,day,D,"('pr',)",gr1,gs://cmip6/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/historical/r1i1p1f1/day/pr/gr1/v20180701/,1985-01-01,2014-12-31,20180701,CMIP_NOAA-GFDL_GFDL-CM4_historical_r1i1p1f1_gr1,raw,zarr,CMIP6
CMIP,NCC,NorESM2-LM,historical,r1i1p1f1,day,D,"('pr',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/historical/r1i1p1f1/day/pr/gn/v20190815/,1985-01-01,2014-12-31,20190815,CMIP_NCC_NorESM2-LM_historical_r1i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-LM,historical,r1i1p1f1,day,D,"('tasmax',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/historical/r1i1p1f1/day/tasmax/gn/v20190815/,1985-01-01,2014-12-31,20190815,CMIP_NCC_NorESM2-LM_historical_r1i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-LM,historical,r1i1p1f1,day,D,"('tasmin',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/historical/r1i1p1f1/day/tasmin/gn/v20190815/,1985-01-01,2014-12-31,20190815,CMIP_NCC_NorESM2-LM_historical_r1i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-LM,historical,r3i1p1f1,day,D,"('pr',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/historical/r3i1p1f1/day/pr/gn/v20190920/,1985-01-01,2014-12-31,20190920,CMIP_NCC_NorESM2-LM_historical_r3i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-LM,historical,r3i1p1f1,day,D,"('tasmin',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/historical/r3i1p1f1/day/tasmin/gn/v20190920/,1985-01-01,2014-12-31,20190920,CMIP_NCC_NorESM2-LM_historical_r3i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-LM,historical,r3i1p1f1,day,D,"('tasmax',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/historical/r3i1p1f1/day/tasmax/gn/v20190920/,1985-01-01,2014-12-31,20190920,CMIP_NCC_NorESM2-LM_historical_r3i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-LM,historical,r2i1p1f1,day,D,"('pr',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/historical/r2i1p1f1/day/pr/gn/v20190920/,1985-01-01,2014-12-31,20190920,CMIP_NCC_NorESM2-LM_historical_r2i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-LM,historical,r2i1p1f1,day,D,"('tasmin',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/historical/r2i1p1f1/day/tasmin/gn/v20190920/,1985-01-01,2014-12-31,20190920,CMIP_NCC_NorESM2-LM_historical_r2i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-LM,historical,r2i1p1f1,day,D,"('tasmax',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/historical/r2i1p1f1/day/tasmax/gn/v20190920/,1985-01-01,2014-12-31,20190920,CMIP_NCC_NorESM2-LM_historical_r2i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-MM,historical,r1i1p1f1,day,D,"('pr',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/day/pr/gn/v20191108/,1985-01-01,2014-12-31,20191108,CMIP_NCC_NorESM2-MM_historical_r1i1p1f1_gn,raw,zarr,CMIP6
CMIP,NCC,NorESM2-MM,historical,r1i1p1f1,day,D,"('tasmax',)",gn,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/day/tasmax/gn/v20191108/,1985-01-01,2014-12-31,20191108,CMIP_NCC_NorESM2-MM_historical_r1i1p1f1_gn,raw,zarr,CMIP6
