model_run,1.5_rcp26,2_rcp26,3_rcp26,4_rcp26,1.5_rcp45,2_rcp45,3_rcp45,4_rcp45,1.5_rcp85,2_rcp85,3_rcp85,4_rcp85,1.5_ssp126,2_ssp126,3_ssp126,4_ssp126,1.5_ssp245,2_ssp245,3_ssp245,4_ssp245,1.5_ssp370,2_ssp370,3_ssp370,4_ssp370,1.5_ssp585,2_ssp585,3_ssp585,4_ssp585
CMIP5_ACCESS1-0_r1i1p1,9999.0,9999.0,9999.0,9999.0,2033.0,2053.0,,,2028.0,2041.0,2062.0,2081.0,,,,,,,,,,,,,,,,
CMIP5_ACCESS1-3_r1i1p1,9999.0,9999.0,9999.0,9999.0,2039.0,2056.0,,,2031.0,2042.0,2062.0,2082.0,,,,,,,,,,,,,,,,
CMIP5_bcc-csm1-1_r1i1p1,2022.0,,,,2021.0,2043.0,,,2019.0,2036.0,2059.0,2083.0,,,,,,,,,,,,,,,,
CMIP5_bcc-csm1-1-m_r1i1p1,2011.0,2043.0,,,2011.0,2035.0,,,2010.0,2028.0,2059.0,2085.0,,,,,,,,,,,,,,,,
CMIP5_BNU-ESM_r1i1p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMIP5_CanESM2_r1i1p1,2013.0,2032.0,,,2017.0,2031.0,2075.0,,2013.0,2026.0,2049.0,2068.0,,,,,,,,,,,,,,,,
CMIP5_CCSM4_r1i1p1,2016.0,,,,2017.0,2039.0,,,2014.0,2030.0,2057.0,2078.0,,,,,,,,,,,,,,,,
CMIP5_CESM1-BGC_r1i1p1,9999.0,9999.0,9999.0,9999.0,2018.0,2044.0,,,2017.0,2033.0,2059.0,2080.0,,,,,,,,,,,,,,,,
CMIP5_CMCC-CM_r1i1p1,9999.0,9999.0,9999.0,9999.0,2034.0,2050.0,,,2029.0,2041.0,2061.0,2078.0,,,,,,,,,,,,,,,,
CMIP5_CMCC-CMS_r1i1p1,9999.0,9999.0,9999.0,9999.0,2037.0,2055.0,,,2029.0,2041.0,2061.0,2077.0,,,,,,,,,,,,,,,,
CMIP5_CNRM-CM5_r1i1p1,2042.0,,,,2036.0,2057.0,,,2030.0,2045.0,2067.0,2087.0,,,,,,,,,,,,,,,,
CMIP5_CSIRO-Mk3-6-0_r1i1p1,2036.0,,,,2035.0,2048.0,,,2034.0,2044.0,2065.0,2082.0,,,,,,,,,,,,,,,,
CMIP5_EC-EARTH_r12i1p1,2023.0,,,,2022.0,2044.0,,,2018.0,2034.0,2060.0,2082.0,,,,,,,,,,,,,,,,
CMIP5_EC-EARTH_r3i1p1,9999.0,9999.0,9999.0,9999.0,2022.0,2044.0,,,2020.0,2038.0,2061.0,2081.0,,,,,,,,,,,,,,,,
CMIP5_GFDL-CM3_r1i1p1,2021.0,2049.0,,,9999.0,9999.0,9999.0,9999.0,2022.0,2034.0,2054.0,2070.0,,,,,,,,,,,,,,,,
CMIP5_GFDL-ESM2G_r1i1p1,,,,,2050.0,,,,2037.0,2054.0,2080.0,,,,,,,,,,,,,,,,,
CMIP5_GFDL-ESM2M_r1i1p1,,,,,2046.0,,,,2036.0,2051.0,2082.0,,,,,,,,,,,,,,,,,
CMIP5_HadGEM2-CC_r1i1p1,9999.0,9999.0,9999.0,9999.0,2036.0,2052.0,,,2027.0,2039.0,2056.0,2072.0,,,,,,,,,,,,,,,,
CMIP5_HadGEM2-ES_r1i1p1,2023.0,,,,2028.0,2043.0,2078.0,,2023.0,2035.0,2054.0,2071.0,,,,,,,,,,,,,,,,
CMIP5_inmcm4_r1i1p1,9999.0,9999.0,9999.0,9999.0,2060.0,,,,2044.0,2057.0,2083.0,,,,,,,,,,,,,,,,,
CMIP5_IPSL-CM5A-LR_r1i1p1,2010.0,2031.0,,,2013.0,2030.0,2069.0,,2009.0,2025.0,2047.0,2065.0,,,,,,,,,,,,,,,,
CMIP5_IPSL-CM5A-MR_r1i1p1,2015.0,2046.0,,,2016.0,2033.0,2077.0,,2015.0,2030.0,2050.0,2066.0,,,,,,,,,,,,,,,,
CMIP5_IPSL-CM5B-LR_r1i1p1,9999.0,9999.0,9999.0,9999.0,2026.0,2048.0,,,2022.0,2037.0,2061.0,2084.0,,,,,,,,,,,,,,,,
CMIP5_MIROC-ESM_r1i1p1,2021.0,2041.0,,,2020.0,2033.0,2068.0,,2020.0,2030.0,2052.0,2069.0,,,,,,,,,,,,,,,,
CMIP5_MIROC-ESM-CHEM_r1i1p1,2018.0,2034.0,,,2022.0,2036.0,2073.0,,2018.0,2030.0,2050.0,2067.0,,,,,,,,,,,,,,,,
CMIP5_MIROC5_r1i1p1,2046.0,,,,2039.0,2071.0,,,2033.0,2048.0,2072.0,,,,,,,,,,,,,,,,,
CMIP5_MPI-ESM-LR_r1i1p1,2022.0,,,,2022.0,2044.0,,,2017.0,2037.0,2061.0,2081.0,,,,,,,,,,,,,,,,
CMIP5_MPI-ESM-MR_r1i1p1,2023.0,,,,2023.0,2045.0,,,2019.0,2039.0,2060.0,2082.0,,,,,,,,,,,,,,,,
CMIP5_MRI-CGCM3_r1i1p1,,,,,2054.0,2084.0,,,2041.0,2052.0,2076.0,,,,,,,,,,,,,,,,,
CMIP5_NorESM1-M_r1i1p1,,,,,2039.0,2072.0,,,2032.0,2048.0,2072.0,,,,,,,,,,,,,,,,,
CMIP6_ACCESS-CM2_r1i1p1f1,,,,,,,,,,,,,2027.0,2042.0,,,2028.0,2040.0,2070.0,,2027.0,2039.0,2062.0,2082.0,2025.0,2038.0,2055.0,2071.0
CMIP6_ACCESS-ESM1-5_r1i1p1f1,,,,,,,,,,,,,2030.0,2072.0,,,2029.0,2045.0,,,2033.0,2048.0,2069.0,,2027.0,2039.0,2060.0,2078.0
CMIP6_AWI-CM-1-1-MR_r1i1p1f1,,,,,,,,,,,,,2022.0,2050.0,,,2020.0,2039.0,,,2021.0,2037.0,2064.0,,2019.0,2036.0,2059.0,2079.0
CMIP6_BCC-CSM2-MR_r1i1p1f1,,,,,,,,,,,,,2041.0,,,,2035.0,2057.0,,,2032.0,2046.0,2074.0,,2031.0,2043.0,2065.0,
CMIP6_CAMS-CSM1-0_r2i1p1f1,,,,,,,,,,,,,,,,,2055.0,2088.0,,,2046.0,2065.0,,,2047.0,2064.0,2088.0,
CMIP6_CanESM5_r1i1p1f1,,,,,,,,,,,,,2013.0,2025.0,,,2012.0,2023.0,2049.0,2083.0,2012.0,2023.0,2043.0,2059.0,2011.0,2022.0,2040.0,2054.0
CMIP6_CESM2_r4i1p1f1,,,,,,,,,,,,,2026.0,2042.0,,,2028.0,2042.0,2078.0,,2030.0,2043.0,2068.0,2087.0,2023.0,2034.0,2055.0,2071.0
CMIP6_CESM2-WACCM_r1i1p1f1,,,,,,,,,,,,,2021.0,2038.0,,,2024.0,2039.0,2075.0,,2027.0,2041.0,2063.0,2085.0,2020.0,2033.0,2053.0,2068.0
CMIP6_CMCC-CM2-SR5_r1i1p1f1,,,,,,,,,,,,,2023.0,2037.0,,,2024.0,2038.0,2066.0,,2025.0,2039.0,2063.0,2087.0,2021.0,2033.0,2052.0,2069.0
CMIP6_CNRM-CM6-1_r1i1p1f2,,,,,,,,,,,,,2027.0,2058.0,,,2030.0,2048.0,2084.0,,2032.0,2045.0,2066.0,2083.0,2028.0,2040.0,2058.0,2072.0
CMIP6_CNRM-CM6-1-HR_r1i1p1f2,,,,,,,,,,,,,2017.0,2030.0,,,2019.0,2033.0,2062.0,,2019.0,2032.0,2057.0,2076.0,2018.0,2029.0,2051.0,2066.0
CMIP6_CNRM-ESM2-1_r1i1p1f2,,,,,,,,,,,,,2047.0,,,,2037.0,2055.0,2088.0,,2037.0,2052.0,2072.0,2089.0,2032.0,2045.0,2064.0,2079.0
CMIP6_EC-Earth3_r1i1p1f1,,,,,,,,,,,,,2022.0,2043.0,,,2022.0,2044.0,2085.0,,2022.0,2038.0,2063.0,2084.0,2024.0,2035.0,2057.0,2073.0
CMIP6_EC-Earth3-Veg_r1i1p1f1,,,,,,,,,,,,,2012.0,2029.0,,,2010.0,2033.0,2067.0,,2011.0,2032.0,2057.0,2076.0,2011.0,2027.0,2050.0,2067.0
CMIP6_EC-Earth3-Veg-LR_r1i1p1f1,,,,,,,,,,,,,9999.0,9999.0,9999.0,9999.0,2026.0,2049.0,,,2028.0,2045.0,2066.0,2087.0,9999.0,9999.0,9999.0,9999.0
CMIP6_FGOALS-g3_r1i1p1f1,,,,,,,,,,,,,2076.0,,,,2030.0,2063.0,,,2026.0,2044.0,2082.0,,2027.0,2046.0,2072.0,
CMIP6_GFDL-CM4_r1i1p1f1,,,,,,,,,,,,,9999.0,9999.0,9999.0,9999.0,2031.0,2050.0,,,9999.0,9999.0,9999.0,9999.0,2029.0,2041.0,2059.0,2079.0
CMIP6_GFDL-ESM4_r1i1p1f1,,,,,,,,,,,,,,,,,2046.0,2072.0,,,2041.0,2057.0,2083.0,,2039.0,2052.0,2075.0,
CMIP6_HadGEM3-GC31-LL_r1i1p1f3,,,,,,,,,,,,,2021.0,2037.0,,,2019.0,2033.0,2061.0,,9999.0,9999.0,9999.0,9999.0,2020.0,2030.0,2047.0,2063.0
CMIP6_IITM-ESM_r1i1p1f1,,,,,,,,,,,,,2045.0,,,,2036.0,2061.0,,,2032.0,2051.0,2087.0,,2035.0,2048.0,2075.0,
CMIP6_INM-CM4-8_r1i1p1f1,,,,,,,,,,,,,2050.0,,,,2035.0,2063.0,,,2035.0,2052.0,2083.0,,2030.0,2046.0,2069.0,
CMIP6_INM-CM5-0_r1i1p1f1,,,,,,,,,,,,,2036.0,,,,2036.0,2072.0,,,2032.0,2050.0,2083.0,,2030.0,2045.0,2074.0,
CMIP6_IPSL-CM6A-LR_r1i1p1f1,,,,,,,,,,,,,2019.0,2038.0,,,2018.0,2033.0,2065.0,,2019.0,2034.0,2055.0,2076.0,2018.0,2034.0,2050.0,2066.0
CMIP6_KACE-1-0-G_r2i1p1f1,,,,,,,,,,,,,2009.0,2022.0,,,2010.0,2021.0,2052.0,,2009.0,2022.0,2045.0,2070.0,2009.0,2021.0,2042.0,2063.0
CMIP6_KIOST-ESM_r1i1p1f1,,,,,,,,,,,,,2019.0,,,,2020.0,2039.0,,,9999.0,9999.0,9999.0,9999.0,2016.0,2037.0,2063.0,
CMIP6_MIROC-ES2L_r1i1p1f2,,,,,,,,,,,,,2041.0,,,,2041.0,2063.0,,,2039.0,2055.0,2084.0,,2034.0,2047.0,2070.0,
CMIP6_MIROC6_r1i1p1f1,,,,,,,,,,,,,2063.0,,,,2046.0,2073.0,,,2042.0,2059.0,,,2040.0,2053.0,2076.0,
CMIP6_MPI-ESM1-2-HR_r1i1p1f1,,,,,,,,,,,,,2041.0,,,,2037.0,2063.0,,,2034.0,2050.0,2081.0,,2033.0,2049.0,2073.0,
CMIP6_MPI-ESM1-2-LR_r1i1p1f1,,,,,,,,,,,,,2042.0,,,,2036.0,2057.0,,,2035.0,2052.0,2079.0,,2034.0,2048.0,2071.0,
CMIP6_MRI-ESM2-0_r1i1p1f1,,,,,,,,,,,,,2029.0,,,,2030.0,2049.0,,,2031.0,2045.0,2073.0,,2026.0,2038.0,2064.0,2083.0
CMIP6_NESM3_r1i1p1f1,,,,,,,,,,,,,2021.0,2049.0,,,2024.0,2042.0,,,9999.0,9999.0,9999.0,9999.0,2020.0,2033.0,2054.0,2072.0
CMIP6_NorESM2-LM_r1i1p1f1,,,,,,,,,,,,,,,,,2055.0,2085.0,,,2051.0,2069.0,,,2042.0,2056.0,2077.0,
CMIP6_NorESM2-MM_r1i1p1f1,,,,,,,,,,,,,,,,,2046.0,2078.0,,,2046.0,2062.0,,,2039.0,2054.0,2076.0,
CMIP6_TaiESM1_r1i1p1f1,,,,,,,,,,,,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,2028.0,2036.0,2052.0,2067.0
CMIP6_UKESM1-0-LL_r1i1p1f2,,,,,,,,,,,,,2023.0,2036.0,,,2023.0,2034.0,2059.0,,2022.0,2031.0,2050.0,2069.0,2023.0,2031.0,2046.0,2060.0
